"Reference","Qty","Value","Datasheet","Manufacturer_Name","Manufacturer_Part_Number"
"BT1","1","Battery_Cell","~","",""
"BZ1","1","Buzzer","~","",""
"C1,C2,C6","3","4.7uF","~","",""
"C3,C4","2","2.2uF","~","",""
"C5,C7","2","1uF","~","",""
"C8,C9,C10","3","100nF","~","",""
"D1","1","LED_Small","~","",""
"D2,D3,D4,D5","4","LED_RGBK","~","",""
"IC1","1","MCP73832T-2ACI_MC","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Microchip","MCP73832T-2ACI/MC"
"IC2","1","ADPL44002AUJZ","https://www.analog.com/ADPL44002/datasheet","Analog Devices","ADPL44002AUJZ2.5-R7 "
"IC3","1","SGP40-D-R4","","",""
"J1","1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","",""
"J2","1","SWD","~","",""
"J3","1","UART","~","",""
"Q1","1","SS8550","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8550.pdf","",""
"R1,R2","2","5.1K","~","",""
"R3,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22","13","470R","~","",""
"R4","1","2K","~","",""
"R5,R6","2","4.7K","~","",""
"R8","1","1K","~","",""
"R10","1","100K","~","",""
"R23","1","4.7R","~","",""
"U1","1","STM32U083KCUx","https://www.st.com/resource/en/datasheet/stm32u083kc.pdf","",""
