Designator,Mid X,Mid Y,Rotation,Layer
_2,6.43,-11.35,90.0,top
,-6.43,-11.35,270.0,top
BT1,0.0,0.0,0.0,bottom
BZ1,0.0,10.08,180.0,top
C1,0.155,-10.055,0.0,bottom
C10,-5.0,1.75,0.0,top
C2,2.04,-12.395,90.0,bottom
C3,1.77,13.61,270.0,bottom
C4,-0.76,13.58,270.0,bottom
C5,11.51,1.37,270.0,top
C6,2.85,-4.75,90.0,top
C7,6.35,-5.27,90.0,top
C8,-4.99,3.31,0.0,top
C9,-4.99,0.23,0.0,top
D1,0.02,-6.42,0.0,top
D2,-8.0,9.0,180.0,top
D3,8.0,9.0,0.0,top
D4,-9.0,-9.0,180.0,top
D5,8.0,-9.0,0.0,top
IC1,-0.08,-13.04,270.0,bottom
IC2,0.5,10.25,0.0,bottom
IC3,7.1,0.92,270.0,top
J1,0.0,-11.025,0.0,top
J2,-8.09,3.495,0.0,top
J3,-6.575,-2.44,90.0,top
Q1,7.155,5.7175,0.0,top
R1,4.78,-5.27,90.0,top
R10,-1.745,4.24,0.0,top
R11,-5.0,10.65,0.0,bottom
R12,-5.0,12.2,0.0,bottom
R13,-5.0,9.09,0.0,bottom
R14,5.23,10.62,180.0,bottom
R15,5.23,12.17,180.0,bottom
R16,5.24,9.07,180.0,bottom
R17,-9.77,-6.42,270.0,top
R18,-8.55,-10.88,180.0,top
R19,-8.23,-6.42,270.0,top
R2,-6.07,-6.35,90.0,top
R20,10.1,-6.34,270.0,top
R21,8.52,-6.34,270.0,top
R22,6.15,-9.67,270.0,top
R23,9.68,1.19,270.0,top
R3,-3.13,-6.43,0.0,top
R4,-2.25,-13.665,270.0,bottom
R5,7.06,-1.94,180.0,top
R6,4.62,-1.84,270.0,top
R8,10.735,4.8,180.0,top
U1,0.0,0.0,90.0,top
